Year,Name,Link,Metrics,Venue,Human evaluation framework,Axes,sample #,annotator #,Significance test,Annotator agreement
2024,Masking Latent Gender Knowledge for Debiasing Image Captioning,Masking Latent Gender Knowledge for Debiasing Image Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE, BiasAmp",NAACL 2024,,,,,,
2024,PAELLA: Parameter-Efficient Lightweight Language-Agnostic Captioning Model,PAELLA: Parameter-Efficient Lightweight Language-Agnostic Captioning Model,CIDEr,NAACL 2024,,,,,,
2024,Content-Specific Humorous Image Captioning Using Incongruity Resolution Chain-of-Thought,Content-Specific Humorous Image Captioning Using Incongruity Resolution Chain-of-Thought,"Self-CIDEr, Div-n, mBLEU",NAACL 2024,comparative,humorous,,10,no,no
2024,Visually-Aware Context Modeling for News Image Captioning,Visually-Aware Context Modeling for News Image Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, Named entities PR",NAACL 2024,,,,,,
2024,The Role of Data Curation in Image Captioning,The Role of Data Curation in Image Captioning - ACL Anthology,"BLEU, METEOR, CIDEr, CLIPScore",EACL 2024,,,,,,
2024,Visual Fact Checker: Enabling High-Fidelity Detailed Caption Generation,[2404.19752] Visual Fact Checker: Enabling High-Fidelity Detailed Caption Generation,"CLIPScore, CLIPImageScore, GPT4V evaluation",CVPR 2024,comparative,"correctness, detailness, fluency",100,3,no,no
2024,Segment and Caption Anything,[2312.00869] Segment and Caption Anything,"BLEU, METEOR, ROUGE, CIDEr, SPICE, Noun overlap, Verb overlap, fuzzy Noun overlap, fuzzy Verb overlap",CVPR 2024,,,,,,
2024,MeaCap: Memory-Augmented Zero-shot Image Captioning,[2403.03715] MeaCap: Memory-Augmented Zero-shot Image Captioning,"BLEU, METEOR, CIDEr, SPICE, CLIPScore, BLIP2Score",CVPR 2024,,,,,,
2024,EVCap: Retrieval-Augmented Image Captioning with External Visual-Name Memory for Open-World Comprehension,[2311.15879] EVCap: Retrieval-Augmented Image Captioning with External Visual-Name Memory for Open-World Comprehension,"BLEU, METEOR, CIDEr, SPICE",CVPR 2024,,,,,,
2024,SyCoCa: Symmetrizing Contrastive Captioners with Attentive Masking for Multimodal Alignment,[2401.02137] SyCoCa: Symmetrizing Contrastive Captioners with Attentive Masking for Multimodal Alignment,"BLEU, METEOR, CIDEr, SPICE",ICML 2024,,,,,,
2024,VIXEN: Visual Text Comparison Network for Image Difference Captioning,VIXEN: Visual Text Comparison Network for Image Difference Captioning | Proceedings of the AAAI Conference on Artificial Intelligence,"BLEU, METEOR, ROUGE, CIDEr, MPNetScore",AAAI 2024,comparative,which is beter,,,no,no
2024,Improving Cross-Modal Alignment with Synthetic Pairs for Text-Only Image Captioning,Improving Cross-Modal Alignment with Synthetic Pairs for Text-Only Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2024,,,,,,
2024,Image Captioning with Multi-Context Synthetic Data,Image Captioning with Multi-Context Synthetic Data | Proceedings of the AAAI Conference on Artificial Intelligence,"BLEU, METEOR, ROUGE, CIDEr",AAAI 2024,,,,,,
2024,Relational Distant Supervision for Image Captioning without Image-Text Pairs,Relational Distant Supervision for Image Captioning without Image-Text Pairs | Proceedings of the AAAI Conference on Artificial Intelligence,"BLEU, METEOR, ROUGE, CIDEr",AAAI 2024,,,,,,
